Answer url,Share Counts,divtext,share_number
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Bhavi-Walecha,23,"77.2K viewsView upvotesView 23 shares
1 of 1.1K answers",23
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Rohit-6718,1,"427 viewsView upvotesView 1 share
1 of 1.1K answers",1
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Elizabeth-Penrose-1,0,"432 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Lisa-Yerington,0,"55 viewsView upvotesAnswer requested by
Potato Ato
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answers/114585320,0,"21 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Abby-Ives,,"85 viewsView upvotesAnswer requested by
Patryk Widla
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Diana-Cairns,,"392 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/David-Deaton-10,,"69 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Mike-Mundy-4,,"170 viewsView upvotesAnswer requested by
Rabee Abuhazeem
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Ritu-Singal-1,,"232 viewsView upvotesView 4 shares
1 of 1.1K answers",4
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Michael-Clute-4,,"134 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Funz-Lone,,"76 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Dr-Charles-3,,"641 viewsView upvotesView 3 shares
1 of 1.1K answers",3
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Jatinder-pal-Singh-37,,"704 viewsView upvotesAnswer requested by
Ronald Jeyapaul
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Kit-Yee-Cheng,,"855 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Jonathan-Lawrence-17,,"337 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Sahil-Kumar-1092,,"252 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Kushal-Pahuja-2,,"107 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Jane-Patrick-44,,"102 viewsView upvotesView 1 share
1 of 1.1K answers",1
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Susan-Huff-10,,"39 viewsView upvotesAnswer requested by
Saudia Turney
,
Patryk Widla
and 1 more
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answers/245819927,,"66 viewsView upvotesAnswer requested by
Nick Byrdsong
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answers/245827990,,"95 viewsView upvotesView 1 shareAnswer requested by
Nick Byrdsong
1 of 1.1K answers",1
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answers/242117856,,"44 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Craig-Wickham-2,,"188 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Steve-Love-78,,"850 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Pallab-Chaudhury-Health-and-Fitness-Related,,"81 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Tom-Slijkerman,,"141 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Sai-Kumar-1668,,"383 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Martin-van-der-Neut,,"457 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Jared-Voelker-1,,"204 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Vidhya-Mudigal,,"337 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Wendy-Doran,,"296 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Khrys-Tapang-1,,"194 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Romil-Raj,,"291 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Ashish-Singh-Shekhawat-9,,"313 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Parmida-Jafari-1,,"192 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Andrea-Fernandes-86,,"168 viewsView upvotes
1 of 1.1K answers",0
https://www.quora.com/What-is-something-I-can-start-doing-today-to-improve-my-mental-health-overall/answer/Bob-5008,,"148 viewsView upvotes
1 of 1.1K answers",0
