Card,Player,Card Number,Grade,Price,Link
1909 T206 Sweet Caporal,Ty Cobb/Portrait Green,97,PSA 8,"$450,000",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1909 T206 Sweet Caporal,Ty Cobb/Portrait Green,97,PSA 8,"$450,000",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1965 Topps,Joe Namath,122,PSA 8.5,"$102,000",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1965 Topps,Joe Namath,122,PSA 8.5,"$108,000",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1952 Topps,Mickey Mantle,311,PSA 4,"$34,800",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1952 Topps,Mickey Mantle,311,PSA 4,"$120,000",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1968 Topps,Jerry Koosman/Nolan Ryan,177,PSA 9,"$34,800",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1998 Hoops Slam Bams,Michael Jordan,1,PSA 9,"$120,000",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1968 Topps,Jerry Koosman/Nolan Ryan,177,PSA 9,"$99,466",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1952 Topps,Mickey Mantle,311,PSA 2,"$99,466",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1952 Topps,Mickey Mantle,311,PSA 2,"$68,400",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1956 Topps,Roberto Clemente,33,PSA 9,"$86,400",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1958 Alifabolaget,Pele,635,PSA 5,"$180,000",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
1956 Topps,Roberto Clemente,33,PSA 9,"$58,800",https://app.alt.xyz/browse/external-listing?id=ab46a819-ef59-4b25-993a-5d178ad6469f&prev=%2Fbrowse%2Fliquid-auctions%3FsortBy%3Dhighest_alt_value_first
