link,card,player,grade,current_price,card_number
https://app.alt.xyz/browse/external-listing?id=bf4b7727-4eeb-4073-96da-4afb1f977367&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1998 Pokemon Promo Japanese,Illustrator Pikachu,PSA 9,$4,
https://app.alt.xyz/browse/external-listing?id=536313fc-2e76-4d81-bf53-3eac18c10ffc&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2018 Bowman Chrome Rookie Autograph Orange Refractor,Shohei Ohtani ,BGS 9.5 Auto 10,"$300,000",CRASO
https://app.alt.xyz/browse/external-listing?id=430fe535-78aa-4bc3-aa93-47585841d140&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1958 Alifabolaget,Pele ,PSA 5,"$70,000",635
https://app.alt.xyz/browse/external-listing?id=c5fb305c-d6b0-4e44-898c-3d2f6937acd3&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2020 Topps Dynasty Formula 1 Autograph Patch,Lewis Hamilton ,PSA 10 Auto 10,"$22,701",DAPLH
https://app.alt.xyz/browse/external-listing?id=06492e5a-6562-4cfd-ae37-c31efe8fcb76&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1993 Magic the Gathering Beta,Time Walk R B ,PSA 10,"$27,949",84
https://app.alt.xyz/browse/external-listing?id=23ed2946-03ce-4735-9838-019c239d5505&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1993 Magic the Gathering Beta,Mox Emerald R ,PSA 10,"$32,949",262
https://app.alt.xyz/browse/external-listing?id=065fd9e1-72ce-41b8-8a19-f780af673be8&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1993 Magic the Gathering Beta,Black Lotus ,BGS 9,$9,233
https://app.alt.xyz/browse/external-listing?id=76a97489-f424-409e-9ea2-a3b606970c06&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2020 National Treasures Rookie Patch Autograph,Justin Herbert ,BGS 9 Auto 10,"$24,000",158
https://app.alt.xyz/browse/external-listing?id=bd74611f-e622-4fe0-add5-39646bc6df96&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1957 Topps,Bob Cousy ,PSA 8,"$41,000",17
https://app.alt.xyz/browse/external-listing?id=e2d880e1-e434-422e-ba32-b29e284d093c&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,1963 Topps,Roberto Clemente ,PSA 9,"$20,325",540
https://app.alt.xyz/browse/external-listing?id=c71553af-3a6d-4ac5-a545-789d40b06155&prev=%2Fbrowse%2Fliquid-auctions%3FauctionHouse%3DAlt%26auctionHouse%3DeBay%26sortBy%3Dhighest_alt_value_first,2017 Panini Contenders Rookie Ticket Autograph,Patrick Mahomes II ,BGS 9.5 Auto 10,"$12,700",303
